Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Nature,Reporting Type,Units,2000,2010,2015,2016,2017,2018,2019,2020
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),4,Afghanistan,C,G,HA_TH,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),2,Africa,NA,G,HA_TH,710048.848,676015.37,656482.32,652481.38429,648548.99,644618.828,640608.55,636638.97
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),248,Åland Islands,N,G,HA_TH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),8,Albania,E,G,HA_TH,769.3,782.07,789.1875,789.18,788.9025,788.9,788.9,788.9
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),12,Algeria,C,G,HA_TH,1579,1918,1956,1956,1943,1930,1939,1949
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),16,American Samoa,C,G,HA_TH,17.73,17.43,17.28,17.25,17.22,17.19,17.16,17.13
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),19,Americas,NA,G,HA_TH,1674994.03,1624344.25,1611037.25,1608023.35,1604222.08858,1601863.13,1599319.34,1596895.79
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),20,Andorra,C,G,HA_TH,16,16,16,16,16,16,16,16
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),24,Angola,C,G,HA_TH,77708.61,72158,69382.69,68827.62,68272.57,67717.51,67162.44,66607.38
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),660,Anguilla,E,G,HA_TH,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),28,Antigua and Barbuda,E,G,HA_TH,9.45,8.78,8.45,8.38,8.32,8.25,8.18,8.12
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),32,Argentina,C,G,HA_TH,33378,30214,29097,29010,28899,28791,28681,28573
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),51,Armenia,C,G,HA_TH,332.64,330.56,329.52,329.31,329.1,328.89,328.68,328.47
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),533,Aruba,E,G,HA_TH,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),142,Asia,NA,G,HA_TH,587409.95835,610959.90653,616106.53456,618419.5977,618894.21502,620160.12615,621427.43,622686.81
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),36,Australia,C,G,HA_TH,131814.1,129546.1,133094.5,134037.2,134017.4,134005.1,134005.1,134005.1
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),53,Australia and New Zealand,NA,G,HA_TH,141665.03,139394.71,142941.6,143884.44,143868.74,143860.74,143871.11,143898.18
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),40,Austria,C,G,HA_TH,3838.14,3863.2,3881.19,3884.79,3888.38,3891.97,3895.56,3899.15
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),31,Azerbaijan,C,G,HA_TH,987.22,1032.49459,1077.88697,1087.4752,1097.1848,1108.71495,1120.24,1131.77
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),44,Bahamas,C,G,HA_TH,509.86,509.86,509.86,509.86,509.86,509.86,509.86,509.86
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),48,Bahrain,E,G,HA_TH,0.37,0.52,0.6,0.62,0.64,0.66,0.68,0.7
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),50,Bangladesh,C,G,HA_TH,1920.32809,1888.34204,1883.4,1883.4,1883.4,1883.4,1883.4,1883.4
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),52,Barbados,C,G,HA_TH,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),112,Belarus,C,G,HA_TH,8273,8630,8633.5,8709.6,8724.1,8738.6,8753.1,8767.6
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),56,Belgium,C,G,HA_TH,667.3,689.87,689.3,689.3,689.3,689.3,689.3,689.3
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),84,Belize,C,G,HA_TH,1459.3,1391.39,1332.83,1321.68,1310.52,1299.37,1288.21,1277.05
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),204,Benin,C,G,HA_TH,4135.15,3635.15,3385.15,3335.15,3285.15,3235.15,3185.15,3135.15
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),60,Bermuda,E,G,HA_TH,1,1,1,1,1,1,1,1
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),64,Bhutan,C,G,HA_TH,2606,2705.29,2715.18,2717.16,2719.14,2721.12,2723.1,2725.08
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),68,Bolivia (Plurinational State of),C,G,HA_TH,55101.39,53086.01,52027.22,51750.68,51492.22,51253.24,51033.76,50833.76
15,15.1,15.1.1,AG_LND_FRSTN,Forest area (thousands of hectares),535,"Bonaire, Sint Eustatius and Saba",E,G,HA_TH,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91
